Ronde,Scenario,CPU Energie,GPU Energie,Total Energie,Tijd
1,1,254.94,230.94,485.88,10
2,1,254.74,243.41,498.15,10
3,1,214.58,233.95,448.53,10
4,1,213.68,233.09,446.77,10
5,1,210.20,231.32,441.52,10
6,1,213.30,229.06,442.36,10
7,1,205.86,230.69,436.55,10
8,1,212.57,230.59,443.16,10
9,1,213.21,234.28,447.49,10
10,1,205.83,233.85,439.68,10
11,1,209.61,231.87,441.48,10
12,1,209.11,230.36,439.47,10
13,1,212.43,232.07,444.50,10
14,1,215.72,231.25,446.97,10
15,1,208.92,229.62,438.54,10
16,1,211.23,232.31,443.54,10
17,1,205.19,229.31,434.50,10
18,1,210.51,230.47,440.98,10
19,1,210.77,231.46,442.23,10
20,1,204.75,232.28,437.03,10
21,1,208.63,232.20,440.83,10
22,1,206.91,232.36,439.27,10
23,1,207.71,229.14,436.85,10
24,1,211.09,236.82,447.91,11
25,1,219.36,231.42,450.78,10
26,1,207.06,230.80,437.86,10
27,1,210.04,232.52,442.56,10
28,1,210.54,230.89,441.43,10
29,1,199.26,231.39,430.65,10
30,1,211.40,227.11,438.51,10
31,1,209.69,227.81,437.50,10
32,1,205.35,230.79,436.14,10
33,1,208.78,228.52,437.30,10
34,1,206.89,232.24,439.13,10
35,1,205.44,230.47,435.91,10
36,1,208.20,229.17,437.37,10
37,1,210.43,234.55,444.98,10
38,1,209.78,233.00,442.78,10
39,1,211.87,234.15,446.02,10
40,1,214.73,230.86,445.59,10
41,1,213.74,235.32,449.06,10
42,1,208.15,235.41,443.56,10
43,1,206.83,235.18,442.01,10
44,1,210.37,232.43,442.80,10
45,1,203.70,234.93,438.63,10
46,1,209.28,234.64,443.92,10
47,1,209.43,232.76,442.19,10
48,1,204.85,231.88,436.73,10
49,1,210.34,231.97,442.31,10
50,1,211.59,229.48,441.07,10
1,2,58.28,25.68,83.96,2
2,2,57.99,26.39,84.38,1
3,2,58.30,26.07,84.37,2
4,2,57.62,26.00,83.62,2
5,2,57.94,26.10,84.04,2
6,2,56.90,25.69,82.59,2
7,2,57.43,25.77,83.20,1
8,2,57.82,25.40,83.22,1
9,2,57.36,25.09,82.45,2
10,2,57.55,25.90,83.45,2
11,2,57.12,25.18,82.30,2
12,2,57.86,24.85,82.71,2
13,2,57.47,26.15,83.62,2
14,2,57.31,25.67,82.98,1
15,2,57.37,25.34,82.71,2
16,2,57.34,25.04,82.38,2
17,2,57.64,25.70,83.34,2
18,2,57.00,25.37,82.37,2
19,2,57.69,25.35,83.04,2
20,2,57.23,25.75,82.98,1
21,2,57.74,26.07,83.81,1
22,2,57.56,25.79,83.35,2
23,2,57.53,26.08,83.61,2
24,2,57.64,25.95,83.59,2
25,2,56.97,26.01,82.98,2
26,2,57.46,25.81,83.27,1
27,2,57.34,25.71,83.05,2
28,2,57.69,25.89,83.58,2
29,2,57.85,25.04,82.89,2
30,2,58.06,25.75,83.81,2
31,2,57.41,25.61,83.02,2
32,2,57.13,25.85,82.98,2
33,2,57.61,25.91,83.52,1
34,2,57.69,25.77,83.46,2
35,2,57.50,25.48,82.98,2
36,2,57.01,25.26,82.27,2
37,2,57.00,26.00,83.00,2
38,2,57.74,25.33,83.07,2
39,2,57.59,25.41,83.00,1
40,2,57.23,25.76,82.99,2
41,2,57.64,25.30,82.94,2
42,2,57.41,25.78,83.19,2
43,2,57.61,25.87,83.48,2
44,2,57.38,26.17,83.55,2
45,2,57.05,25.80,82.85,2
46,2,57.37,25.18,82.55,1
47,2,57.12,25.32,82.44,2
48,2,57.29,25.81,83.10,2
49,2,57.10,26.20,83.30,2
50,2,57.60,25.67,83.27,2
1,3,359.64,128.51,488.15,5
2,3,356.70,127.32,484.02,5
3,3,357.97,126.92,484.89,6
4,3,355.85,128.18,484.03,5
5,3,355.03,128.04,483.07,6
6,3,356.78,129.11,485.89,5
7,3,354.82,127.85,482.67,6
8,3,356.02,128.02,484.04,6
9,3,355.74,128.39,484.13,5
10,3,357.78,129.26,487.04,6
11,3,357.53,127.25,484.78,5
12,3,357.24,129.56,486.80,6
13,3,356.63,128.04,484.67,5
14,3,355.69,128.37,484.06,5
15,3,354.48,127.26,481.74,6
16,3,356.75,129.06,485.81,5
17,3,355.46,130.14,485.60,6
18,3,355.17,127.29,482.46,6
19,3,356.52,129.28,485.80,5
20,3,357.50,129.31,486.81,6
21,3,354.95,129.78,484.73,5
22,3,356.33,129.07,485.40,6
23,3,354.21,126.93,481.14,6
24,3,356.37,129.27,485.64,5
25,3,355.38,127.52,482.90,6
26,3,356.06,128.23,484.29,5
27,3,355.01,129.21,484.22,6
28,3,358.62,129.91,488.53,6
29,3,358.22,131.13,489.35,5
30,3,353.49,129.42,482.91,6
31,3,356.71,130.34,487.05,5
32,3,352.81,131.39,484.20,6
33,3,357.15,132.14,489.29,6
34,3,352.97,131.67,484.64,5
35,3,355.62,130.42,486.04,6
36,3,356.63,130.15,486.78,6
37,3,356.26,131.77,488.03,5
38,3,356.51,130.29,486.80,6
39,3,354.42,132.08,486.50,5
40,3,353.44,132.23,485.67,5
41,3,354.52,131.52,486.04,6
42,3,354.20,132.15,486.35,6
43,3,356.39,130.53,486.92,5
44,3,352.25,130.83,483.08,6
45,3,352.41,129.87,482.28,6
46,3,356.47,130.18,486.65,5
47,3,350.92,130.79,481.71,6
48,3,354.01,130.76,484.77,6
49,3,354.82,130.08,484.90,5
50,3,355.13,130.93,486.06,6
1,4,1847.63,670.43,2518.06,28
2,4,1914.67,701.10,2615.77,28
3,4,1907.13,703.54,2610.67,28
4,4,1898.63,697.48,2596.11,29
5,4,1934.62,691.53,2626.15,28
6,4,1914.08,691.76,2605.84,28
7,4,1916.61,694.79,2611.40,28
8,4,1903.71,697.74,2601.45,29
9,4,1895.25,699.01,2594.26,29
10,4,1897.84,697.51,2595.35,28
11,4,1901.73,692.26,2593.99,29
12,4,1887.76,695.74,2583.50,29
13,4,1905.63,698.70,2604.33,28
14,4,1891.24,705.24,2596.48,29
15,4,1901.75,748.66,2650.41,29
16,4,1946.64,734.76,2681.40,29
17,4,1907.64,701.02,2608.66,28
18,4,1887.38,702.49,2589.87,28
19,4,1888.18,705.10,2593.28,28
20,4,1904.87,707.01,2611.88,28
21,4,1946.92,727.91,2674.83,30
22,4,1948.42,727.62,2676.04,29
23,4,1893.77,699.22,2592.99,29
24,4,1912.11,703.73,2615.84,28
25,4,1892.55,705.97,2598.52,29
26,4,1943.85,729.49,2673.34,30
27,4,1893.20,701.10,2594.30,28
28,4,1909.98,699.69,2609.67,28
29,4,1950.59,720.12,2670.71,30
30,4,1965.75,721.22,2686.97,29
31,4,1901.92,691.30,2593.22,28
32,4,1944.43,715.37,2659.80,30
33,4,1942.35,716.60,2658.95,30
34,4,1998.48,745.49,2743.97,30
35,4,1904.18,688.94,2593.12,28
36,4,1947.25,720.75,2668.00,30
37,4,1946.55,720.22,2666.77,29
38,4,1901.25,696.40,2597.65,29
39,4,1997.66,746.10,2743.76,30
40,4,1994.57,749.86,2744.43,30
41,4,1891.23,706.97,2598.20,29
42,4,1897.84,704.95,2602.79,29
43,4,1885.30,704.46,2589.76,29
44,4,1885.17,699.72,2584.89,29
45,4,1936.59,734.86,2671.45,30
46,4,2044.27,771.23,2815.50,31
47,4,1944.14,734.03,2678.17,30
48,4,1988.27,755.07,2743.34,30
49,4,1952.98,728.98,2681.96,29
50,4,1994.06,751.94,2746.00,30
