Ronde,Scenario,CPU Energie,GPU Energie,Total Energie,Tijd
1,1,241.84,287.78,529.62,10
2,1,201.91,235.60,437.51,10
3,1,210.46,235.14,445.60,10
4,1,212.02,232.78,444.80,10
5,1,206.34,236.46,442.80,10
6,1,208.40,234.88,443.28,10
7,1,203.86,239.52,443.38,10
8,1,208.63,235.71,444.34,10
9,1,203.13,237.52,440.65,10
10,1,200.01,236.24,436.25,10
11,1,208.09,236.59,444.68,10
12,1,209.59,235.72,445.31,10
13,1,207.85,233.69,441.54,10
14,1,208.17,236.95,445.12,10
15,1,208.13,237.11,445.24,10
16,1,203.65,235.33,438.98,10
17,1,208.18,236.45,444.63,10
18,1,202.95,236.88,439.83,10
19,1,208.20,237.79,445.99,10
20,1,208.61,234.67,443.28,10
21,1,208.81,234.08,442.89,10
22,1,208.49,233.92,442.41,10
23,1,202.74,237.14,439.88,10
24,1,197.81,234.85,432.66,10
25,1,207.44,235.51,442.95,10
26,1,206.71,237.24,443.95,10
27,1,205.89,238.66,444.55,10
28,1,205.31,237.02,442.33,10
29,1,203.21,235.91,439.12,10
30,1,206.59,237.31,443.90,10
31,1,200.76,233.22,433.98,10
32,1,202.36,236.91,439.27,10
33,1,206.89,237.04,443.93,10
34,1,200.45,237.42,437.87,10
35,1,203.54,230.35,433.89,10
36,1,204.22,231.56,435.78,10
37,1,201.86,234.93,436.79,10
38,1,205.06,236.56,441.62,10
39,1,206.62,234.17,440.79,10
40,1,203.40,236.89,440.29,10
41,1,201.83,237.00,438.83,10
42,1,206.45,234.44,440.89,10
43,1,211.76,235.39,447.15,10
44,1,195.17,235.45,430.62,10
45,1,203.96,234.16,438.12,10
46,1,205.93,235.04,440.97,10
47,1,202.59,233.70,436.29,10
48,1,203.01,233.90,436.91,10
49,1,205.65,233.43,439.08,10
50,1,206.35,233.31,439.66,10
1,2,169.51,105.12,274.63,5
2,2,158.16,104.52,262.68,5
3,2,184.00,134.25,318.25,6
4,2,152.74,104.95,257.69,5
5,2,182.46,132.76,315.22,5
6,2,179.23,132.09,311.32,6
7,2,183.71,132.31,316.02,5
8,2,148.52,107.02,255.54,5
9,2,148.43,105.65,254.08,5
10,2,183.71,133.36,317.07,6
11,2,154.07,105.44,259.51,5
12,2,147.92,105.14,253.06,5
13,2,185.64,129.43,315.07,5
14,2,163.09,105.93,269.02,5
15,2,164.15,104.63,268.78,5
16,2,151.54,106.17,257.71,5
17,2,183.02,131.42,314.44,6
18,2,182.32,130.53,312.85,5
19,2,185.62,132.03,317.65,5
20,2,185.20,132.37,317.57,6
21,2,164.71,128.58,293.29,6
22,2,171.14,130.44,301.58,5
23,2,173.33,131.24,304.57,6
24,2,179.27,131.81,311.08,6
25,2,145.44,107.06,252.50,5
